Crimes Reported by City  Township  Village Police Departments for 2019,,,,,,,,,,
AgencyName,Population,ViolentCrimeTotal,Murder,Rape,Robbery,AggravatedAssault,PropertyCrimeTotal,Burglary,LarcenyTheft,MotorVehicleTheft
Garfield Heights,27516,136,0,14,32,90,611,69,542,0
Garrettsville,2328,3,0,0,2,1,21,3,18,0
Genoa,2284,4,0,1,0,3,8,3,4,1
Georgetown,4253,5,0,2,0,3,93,17,74,2
Germantown,5500,12,1,0,0,11,81,14,63,4
Glouster,1796,4,0,0,0,4,35,7,28,0
Goshen Township (Clermont),16300,18,0,6,3,9,153,22,119,12
Grafton,5808,2,0,0,1,1,17,1,16,0
Grandview Heights,8581,10,1,4,1,4,202,54,142,6
Granville,5917,8,0,5,0,3,34,4,30,0
Gratis ,847,1,0,1,0,0,8,1,5,2
Green Township,59273,41,0,17,17,7,853,133,703,17
Greenfield,4544,16,1,3,1,11,96,12,74,10
Greenhills,3591,1,0,0,0,1,36,4,32,0
Grove City,42423,38,1,13,17,7,1199,85,1065,49
Groveport,5679,13,1,1,4,7,121,10,81,30
Hamilton,62155,286,4,48,67,167,2246,430,1615,201
Hamilton Township (Warren),23791,14,0,5,0,9,83,8,71,4
Heath,10933,27,0,9,4,14,478,62,394,22
Highland Heights,8402,9,0,0,1,8,112,3,105,4
Hilliard,37578,33,0,10,6,17,257,33,202,22
Hillsboro,6518,11,0,4,0,7,119,12,96,11
Holland,1642,9,0,1,2,6,529,23,501,5
Howland Township,16420,22,0,2,5,15,285,37,235,13
Hubbard,7412,12,0,4,2,6,113,24,84,5
Hubbard Township,5306,6,0,1,2,3,95,23,67,5
Huber Heights,38183,100,0,27,22,51,992,192,746,54
Hudson,22286,8,0,3,1,4,119,13,103,3
Huron ,6863,7,1,3,0,3,99,14,80,5
Independence,7163,5,1,0,1,3,122,8,114,0
Ironton ,10576,20,1,2,3,14,200,51,135,14
Jackson,6222,6,0,1,1,4,204,32,162,10
Jackson Township (Mahoning),2019,2,0,0,0,2,19,0,19,0
Jackson Township (Montgomery),3685,9,0,1,1,7,18,4,12,2
Jackson Township (Stark),40347,56,1,18,12,25,1025,173,827,25
Jamestown ,2136,5,0,2,0,3,55,14,39,2
Johnstown,5119,0,0,0,0,0,30,2,27,1
Kenton,8198,23,0,9,4,10,272,38,222,12
Lakemore,3082,10,0,5,0,5,108,16,89,3
Lakewood,49802,65,0,6,28,31,649,78,519,52
Lancaster ,40622,126,0,38,22,66,1599,220,1289,90
Lawrence Township,8255,6,0,1,0,5,70,20,49,1
Lebanon,20806,35,0,9,4,22,327,16,296,15
Leesburg ,1308,0,0,0,0,0,41,11,28,2
Leipsic,2016,0,0,0,0,0,10,2,7,1
Lexington,4666,0,0,0,0,0,5,0,5,0
Liberty Township,11420,40,0,7,3,30,124,11,107,6
Lisbon,2648,0,0,0,0,0,13,2,10,1
Lithopolis,1777,1,0,0,0,1,9,2,6,1
Lockland,3455,25,0,1,12,12,99,22,69,8
Logan,7039,25,0,11,5,9,446,70,361,15
London,10320,28,2,7,3,16,224,20,192,12
Lorain ,64022,331,4,40,72,215,1534,413,1030,91
Lordstown,3248,3,0,0,0,3,33,5,25,3
Loudonville,2628,11,0,5,0,6,44,6,37,1
Louisville,9329,6,0,2,1,3,81,8,71,2
Loveland,13245,19,0,11,1,7,83,15,63,5
Lynchburg,1476,1,0,0,0,1,12,0,10,2
Lyndhurst,13407,14,0,1,3,10,143,8,135,0
Madison Township (Franklin),19682,33,0,4,11,18,222,53,143,26
Madison Township (Lake),15646,14,0,0,1,13,227,31,189,7
Magnolia,961,0,0,0,0,0,15,4,10,1
Mansfield ,46418,190,4,52,38,96,2045,401,1560,84
Mantua,1026,3,0,0,0,3,3,2,1,0
Marietta,13547,44,1,17,0,26,262,28,226,8
Marion,36000,119,0,33,29,57,934,260,615,59
Martins Ferry,6558,12,0,1,2,9,82,10,65,7
Marysville,24544,19,0,9,3,7,361,47,300,14
Mason,33939,13,0,2,2,9,222,18,197,7
Maumee,13656,18,0,4,4,10,425,32,381,12
Mayfield Heights,18519,12,0,1,3,8,230,8,220,2
McArthur ,1653,2,0,0,1,1,45,7,38,0
McConnelsville,1760,0,0,0,0,0,19,2,17,0
Mechanicsburg,1579,2,0,1,0,1,42,3,33,6
Medina Township,9059,3,0,1,0,2,128,2,124,2
Mentor,47289,71,0,11,16,44,732,60,646,26
Mentor-On-The-Lake,7400,17,0,4,5,8,73,7,61,5
Miami Township (Clermont),42764,25,1,11,1,12,491,44,424,23
Miami Township (Montgomery),29188,83,2,16,16,49,869,44,786,39
Miamisburg,19913,51,0,15,11,25,332,51,249,32
Middleport,2434,0,0,0,0,0,15,8,6,1
Middletown,48878,243,1,33,56,153,1572,309,1115,148
Milan,1331,1,0,0,0,1,6,1,5,0
Milford,6880,14,0,9,1,4,139,13,118,8
Millersport,1055,2,0,0,1,1,19,5,12,2
Milton Township,2439,1,0,0,0,1,19,8,9,2
Minerva Park,1334,0,0,0,0,0,14,1,11,2
Monroe,16531,18,0,0,1,17,485,36,440,9
Monroeville,1356,3,0,0,0,3,18,0,17,1
Montgomery,10867,5,0,3,0,2,100,9,91,0
Montpelier,3932,10,0,7,0,3,149,22,120,7
Moraine,6455,55,3,7,13,32,525,46,459,20
Mount Healthy,6052,25,0,7,5,13,307,62,221,24
Mount Orab,3454,6,0,3,1,2,54,5,45,4
Mount Pleasant,441,0,0,0,0,0,2,0,2,0
Mount Vernon,16663,29,0,11,1,17,329,29,298,2
Munroe Falls,5080,0,0,0,0,0,27,1,26,0
Napoleon,8188,24,0,8,1,15,202,27,169,6
Navarre,1846,8,0,2,0,6,23,6,16,1
Nelsonville,5158,10,0,1,2,7,196,53,124,19
New Albany,11332,9,0,3,0,6,144,23,111,10
New Boston,2093,19,0,0,6,13,315,21,287,7
New Bremen,2977,1,0,0,0,1,22,4,18,0
New Concord,2179,0,0,0,0,0,9,1,8,0
New Franklin,14162,10,0,3,2,5,92,23,63,6
New Knoxville,863,0,0,0,0,0,7,0,7,0
New Lebanon,4001,3,0,1,0,2,57,13,40,4
New Lexington,4654,18,0,5,2,11,137,20,107,10
New Philadelphia,17434,9,1,0,0,8,250,7,237,6
New Richmond,2700,8,0,2,0,6,30,6,21,3
New Vienna,1223,1,0,1,0,0,20,2,17,1
New Waterford,1186,1,0,0,0,1,7,2,5,0
Newark,50340,165,1,44,32,88,1769,333,1288,148
Newton Falls,4481,11,0,3,1,7,56,9,43,4
Niles,18222,80,2,11,20,47,493,52,419,22
North Baltimore,3557,5,0,4,0,1,16,6,9,1
North Canton,17251,17,0,6,1,10,283,30,247,6
North College Hill,9271,32,0,3,13,16,260,38,200,22
North Olmsted,31421,11,0,0,1,10,394,23,358,13
North Royalton,30177,21,0,6,2,13,126,22,100,4
Northfield,3670,7,0,1,1,5,30,2,27,1
Northwood,5445,14,0,7,3,4,113,21,85,7
Norton,12007,20,0,4,3,13,205,36,147,22
Norwalk,16903,18,0,9,2,7,267,41,222,4
Oak Harbor,2728,4,1,0,0,3,31,2,27,2
Oak Hill,1511,1,0,0,0,1,28,5,23,0
Ontario,6067,7,0,2,0,5,249,3,244,2
Oregon,19868,47,0,13,8,26,660,44,594,22
Orrville,8461,21,0,8,2,11,85,16,65,4
Ottawa,4317,1,0,0,0,1,9,0,7,2
Ottawa Hills,4471,0,0,0,0,0,36,3,26,7
Owensville,828,0,0,0,0,0,3,0,3,0
Oxford Township,2224,0,0,0,0,0,20,5,13,2
Pandora,1107,0,0,0,0,0,1,1,0,0
Parma,78322,142,1,30,20,91,851,139,650,62
Payne,1137,1,0,0,0,1,8,2,6,0
Peebles,1724,2,0,0,0,2,13,5,7,1
Peninsula,558,0,0,0,0,0,11,0,11,0
Pepper Pike,6371,5,0,0,1,4,29,6,23,0
Perkins Township,11687,6,1,0,2,3,476,20,453,3
Perry Township (Columbiana),4298,2,0,0,1,1,9,3,5,1
Perry Township (Franklin),3788,2,0,0,0,2,40,6,33,1
Perry Township (Stark),28121,48,0,13,8,27,475,106,340,29
Perrysburg,21672,5,1,3,0,1,130,10,117,3
Perrysburg Township,13013,4,0,0,0,4,132,13,114,5
Pickerington,21590,35,0,11,7,17,232,23,194,15
Pierce Township,11742,15,3,7,1,4,243,15,218,10
Piketon,2154,0,0,0,0,0,20,2,8,10
Pioneer,1395,2,0,0,0,2,44,14,29,1
Plain City,4452,1,0,0,0,1,4,0,3,1
Poland Township,11859,6,0,0,0,6,42,11,31,0
Poland Village,2420,0,0,0,0,0,9,1,8,0
Port Clinton,5914,19,0,10,1,8,113,13,95,5
Portsmouth,20353,121,1,24,23,73,931,190,670,71
Powell,13545,2,0,2,0,0,90,8,80,2
Reynoldsburg,37613,87,2,22,26,37,1015,94,852,69
Rio Grande,766,2,0,1,0,1,10,3,6,1
Ripley,1695,4,0,1,0,3,15,2,12,1
Riverside,25148,57,0,12,13,32,386,80,253,53
Rockford Village,1103,6,0,1,0,5,1,0,1,0
Rocky River,20105,9,0,0,1,8,70,10,57,3
Roseville,1833,3,1,1,0,1,8,1,7,0
Ross Township,8944,7,0,3,0,4,76,16,50,10
Russell Township,5219,2,0,0,0,2,13,0,13,0
Russells Point,1377,2,0,0,0,2,24,4,20,0
Sabina,2544,5,0,1,1,3,90,15,75,0
Sagamore Hills Township,10934,0,0,0,0,0,33,5,27,1
Salem,11644,26,0,3,2,21,344,35,302,7
Saline Township,1266,0,0,0,0,0,6,0,3,3
Salineville,1219,2,0,0,0,2,52,8,36,8
Sandusky,24572,79,2,32,22,23,1001,191,764,46
Seaman,896,2,0,1,0,1,7,2,4,1
Sebring,4200,9,0,2,0,7,95,10,80,5
Seven Hills,11621,7,0,1,4,2,38,7,30,1
Sharon Township,2420,4,0,0,0,4,21,2,18,1
Shawnee Hills,822,0,0,0,0,0,11,2,9,0
Shawnee Township,12056,10,0,3,1,6,109,13,94,2
Sheffield Lake,8939,7,1,6,0,0,72,17,55,0
Shelby,8997,16,0,6,1,9,235,53,173,9
Sidney,20437,42,0,23,8,11,642,86,525,31
Smithville,1265,1,0,0,1,0,2,0,2,0
Solon,22830,16,0,3,2,11,230,20,201,9
Somerset,1456,0,0,0,0,0,17,3,12,2
South Bloomfield,1997,10,0,0,3,7,37,4,31,2
South Charleston,1613,4,0,0,0,4,23,6,16,1
South Euclid,21351,52,0,10,17,25,608,45,516,47
South Vienna,399,0,0,0,0,0,2,0,2,0
South Zanesville,2098,0,0,0,0,0,13,0,12,1
Spencerville,2160,0,0,0,0,0,8,0,8,0
Springboro,18975,3,0,0,1,2,82,16,64,2
Springfield Township (Mahoning),6415,11,0,3,1,7,51,14,34,3
Springfield Township (Summit),14555,32,1,8,9,14,697,91,586,20
St. Clair Township,7482,5,0,1,1,3,55,9,46,0
St. Henry,2554,0,0,0,0,0,8,0,7,1
St. Marys,8212,3,0,0,0,3,107,21,84,2
St. Paris,1994,0,0,0,0,0,7,2,5,0
Strasburg,2691,1,0,0,0,1,13,1,10,2
Streetsboro,16561,21,0,2,8,11,230,16,196,18
Struthers,10148,19,0,6,7,6,161,33,126,2
Sugar Grove,425,1,0,0,0,1,3,1,2,0
Sugarcreek Township,8494,5,0,3,1,1,173,11,158,4
Swanton,3857,2,0,0,0,2,51,3,47,1
Sylvania,19046,15,0,7,0,8,174,19,148,7
Sylvania Township,29754,36,0,3,10,23,709,62,623,24
Syracuse,818,0,0,0,0,0,2,1,1,0
Thornville,1003,1,0,0,0,1,7,0,6,1
Toledo,273505,2663,37,243,658,1725,9968,2419,6645,904
Toronto,4919,10,0,2,0,8,20,6,14,0
Trotwood,24435,170,2,20,41,107,674,173,396,105
Troy,26250,28,0,6,5,17,449,62,377,10
Uhrichsville,5317,10,0,3,1,6,62,15,44,3
Union Township (Clermont),48486,56,1,22,12,21,1085,66,985,34
Uniontown,3353,2,0,1,0,1,72,10,56,6
Upper Arlington,35754,19,5,3,6,5,386,51,319,16
Upper Sandusky,6467,16,0,8,0,8,128,13,113,2
Urbana,11309,29,0,14,3,12,316,30,274,12
Utica,2253,2,0,0,1,1,21,5,14,2
Van Wert,10662,27,0,12,0,15,340,63,271,6
Vermilion,10420,2,0,1,0,1,95,16,77,2
Wadsworth,24058,15,1,9,0,5,418,69,343,6
Wapakoneta,9717,7,0,2,0,5,157,9,144,4
Warren,38012,236,6,38,71,121,1536,438,969,129
Warren Township,5169,24,0,0,0,24,88,29,54,5
Washington Court House,14150,45,0,22,5,18,555,64,468,23
Waterville,5518,4,0,1,1,2,35,8,25,2
Waterville Township,1705,1,0,0,0,1,7,1,6,0
Wauseon,7428,16,0,5,2,9,150,10,134,6
Waverly,4253,6,0,0,4,2,90,6,78,6
Weathersfield Township,8017,10,0,3,1,6,89,24,63,2
Wellston,5488,14,0,0,1,13,237,57,162,18
West Chester Township,62517,85,4,28,23,30,1259,126,1081,52
West Jefferson,4435,5,0,2,0,3,75,7,62,6
West Lafayette,2310,1,0,0,0,1,11,0,10,1
West Union,3153,4,0,0,0,4,22,8,11,3
Westerville,40903,80,4,22,16,38,792,53,712,27
Whitehall,19121,138,6,24,46,62,1157,144,926,87
Whitehouse,4887,2,0,0,0,2,12,3,7,2
Wickliffe,12758,17,0,6,3,8,176,13,151,12
Willard,6021,3,0,0,0,3,147,17,125,5
Williamsburg,2569,5,0,0,1,4,47,7,38,2
Willoughby,23081,25,0,5,10,10,336,33,286,17
Wilmington,12391,28,1,10,6,11,660,92,543,25
Winchester,1001,0,0,0,0,0,9,2,5,2
Windham,2210,4,0,1,0,3,17,5,12,0
Wintersville,3665,6,0,0,1,5,47,4,42,1
Woodlawn,3346,6,0,2,0,4,83,7,74,2
Woodsfield,2219,10,0,1,0,9,19,3,15,1
Wooster,26615,115,0,32,15,68,752,99,624,29
Worthington,14875,11,0,6,0,5,243,31,205,7
Wyoming,8596,2,0,0,0,2,122,7,110,5
Xenia,26926,75,0,24,10,41,680,78,560,42
Yellow Springs,3727,7,0,0,2,5,99,20,77,2
Yorkville,1010,2,0,0,0,2,1,0,1,0
Zanesville,25346,132,3,43,24,62,1307,155,1106,46
